SMILES,LogS,Mol,MW
O=C(Nc1cccc(-c2nncn2C2CC2)c1)c1cc(-n2cnc(C3CC3)c2)ccn1,-3.961124607113098,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9E70>,411.4690000000001
Fc1ccccc1-c1c[nH]nc1C1CCCN1Cc1ccc2ncccc2c1,-4.105681629452928,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9E00>,372.44700000000006
Cc1nccc(-c2cn(Cc3ccccc3)c3cnccc23)n1,-3.9503159281615603,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9D90>,300.365
CCc1nc(C)cn2nc(-c3cc(=O)n4cc(C5CCN(C)CC5)cc(C)c4n3)cc12,-4.372285821681655,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9D20>,416.5290000000002
Cc1c(Cl)ccc2cc3n(c12)[C@@H](C)CNC3=O,-3.8732542520367677,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9CB0>,248.71299999999997
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCNC1,-3.9855866417620778,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9C40>,386.4590000000002
Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,-4.017106727730695,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9BD0>,343.25800000000004
COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,-3.9688151846443454,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9B60>,337.38300000000015
COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,-3.858230170038483,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9AF0>,387.4400000000001
Cc1ncc(CN2CC[C@@H](Nc3cncc(Cl)n3)[C@@H](C)C2)s1,-3.8061285625106076,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9A80>,337.8800000000001
Cc1ccc(C(=O)N2CCC(Cc3ccccc3-c3ccccc3)(C(=O)N(C)C)CC2)s1,-4.273357320596235,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9A10>,446.6160000000002
CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,-3.9895863140379695,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C99A0>,588.7130000000002
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,-3.879845084722528,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9930>,312.377
CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)C2CCCO2)CC1,-3.699024739346983,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C98C0>,420.5530000000004
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2ccc(Cl)cc2)cc1,-3.8912286964344855,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9850>,449.9420000000001
CC(=O)Nc1ccc(C(=O)N2CCCCC2c2nc(N)ncc2-c2cccc(Cl)c2)cc1,-3.8934886894344856,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C97E0>,449.9420000000001
O=C1CN(c2ccc(Nc3nccc(C(F)(F)F)n3)cn2)CCN1,-3.819175646406586,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9770>,338.293
O=C1NCCN(C(=O)c2ccc3nccn3c2)C1c1ccccc1C(F)(F)F,-3.7466129511822204,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9700>,388.34900000000005
Cc1cc(F)ccc1C1C(=O)NCCN1C(=O)c1ccc2nccn2c1,-3.753207308947906,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9690>,352.369
O=C1NCCN(C(=O)c2ccncc2)C1c1ccccc1Cl,-3.8539348443874593,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9620>,315.7600000000001
C[C@@H]1CN(C(=O)CC(c2ccccc2)c2ccccc2)C[C@H](C)O1,-3.791120622349024,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C95B0>,323.4360000000001
CN1[C@@H]2CC[C@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,-3.7709184105893834,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9540>,307.43700000000007
CC(C)(C)C(=O)N1CCC(Cc2ccc(-c3cccs3)cc2)(C(=O)N2CCCC2)CC1,-4.2803774265856624,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C94D0>,438.63700000000034
OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,-4.0061758490419965,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9460>,331.3790000000001
Cc1ncsc1C(=O)N1CCCCC1c1nc(N(C)C)ncc1-c1cccc(Cl)c1,-4.385339090388619,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C93F0>,441.98800000000006
OCC1CCCCN1Cc1ccc(Cl)c(Cl)c1,-3.8148039054772545,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9380>,274.19100000000003
CC(=O)N1CCN(c2nc(C(F)(F)F)nc3sc(C)c(C)c23)CC1,-3.844237306434804,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9310>,358.3890000000002
COc1ccccc1C(=O)Nc1ccc2cc[nH]c2c1,-4.735175086438941,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C92A0>,266.3
c1ccc(Oc2cccc(CN(CCN3CCOCC3)Cc3cccnc3)c2)cc1,-3.7817456884354117,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9230>,403.52600000000007
COc1ccc([C@H]2CN(C(C)=O)[C@@H]3CCCN(Cc4cccc(F)c4)[C@H]23)cc1,-3.9293950812164673,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C91C0>,382.479
Cc1c(C(=O)NCCCN(C)C)sc2ncnc(Nc3ccc(F)cc3OC(C)C)c12,-4.276734808120471,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9150>,445.5640000000002
OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,-3.829186494760939,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C90E0>,281.39900000000006
Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,-4.727105502960408,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9070>,405.43300000000005
CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,-4.484345093543784,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C9000>,393.49100000000016
Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,-3.878136939580378,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8F90>,338.38800000000003
Cc1ncsc1C(=O)N1CCCCC1c1nc(N)ncc1-c1cccc(C(F)(F)F)c1,-4.495443415572922,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8F20>,447.48600000000005
O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,-5.068051690989082,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8EB0>,333.3470000000001
O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)N[C@@H]1CCCc2ccccc21,-4.946200141806814,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8E40>,406.4040000000001
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,-3.683848471026228,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8DD0>,291.37600000000003
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,-4.216224054307009,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8D60>,470.5330000000003
CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,-4.118216183971753,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8CF0>,337.27200000000005
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,-3.955892946545691,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8C80>,425.5140000000002
CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,-3.889983477896504,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8C10>,520.8420000000001
CCN(C/C=C\c1ccc(C2CCCCC2)c(Cl)c1)C1CCCCC1,-4.736740468786873,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8BA0>,359.9850000000001
NCCN1CCN(C/C=C/C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)C2)CC1,-4.284710785279618,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8B30>,581.7249999999999
Cn1c(C2CC2)nc2c1CCN(c1ncnc3ccsc13)C2,-3.790907596914423,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8AC0>,311.41400000000004
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,-4.849827570899824,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8A50>,371.524
COc1nn(C)cc1C(=O)Nc1cccc2cnccc12,-3.843260470366625,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C89E0>,282.30300000000005
CNC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(Cc2cccc(F)c2)C1,-3.846176770375174,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8970>,403.5010000000002
CC1CCN([C@H](c2ccc(F)cc2)c2ccc([C@@H](C)C(=O)O)cc2-c2ccc(C(F)(F)F)cc2)CC1,-4.1016504105611595,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8900>,499.5480000000002
O=C1CCC(=O)N1Cc1nc(C23CC4CC(CC(C4)C2)C3)cs1,-3.888173579943721,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8890>,330.4530000000001
O=C(Nc1nc2c(s1)COc1ccccc1-2)c1cnc(Cl)c(Cl)c1,-5.009565730865143,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8820>,378.2400000000001
CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,-5.116285253731152,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C87B0>,359.43300000000005
O=C(Nc1nc2cc(C(F)(F)F)cc(NC3CC3)n2n1)c1cccnc1,-5.517693629388876,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8740>,362.31500000000005
COc1cc(Nc2cc(-c3cccc(C#N)c3)ccn2)ccc1N1CCN(C)CC1,-3.9406491314544208,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C86D0>,399.4980000000003
CC[C@@H]1[C@H](F)C(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,-3.8289529921052314,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8660>,361.37300000000016
C[C@@]1(c2ncncc2F)NC(=O)c2cc(-c3cn[nH]c3)ccc21,-3.9166438944490074,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C85F0>,309.30400000000003
Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,-3.837609885063161,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8580>,445.50200000000024
C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,-4.159468561696299,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8510>,664.8110000000003
Nc1ncc(-c2cc(C3C4CN(C5COC5)CC43)n(CC3CC3)n2)cc1C(F)(F)F,-5.138381395121696,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C84A0>,419.4510000000001
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,-5.0470164889781,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8430>,423.4480000000002
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,-3.9353558360276875,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C83C0>,507.5410000000003
N#CN1CCC[C@H](n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,-4.086813738983418,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8350>,438.4380000000002
CC(=O)NCCNc1cc(Cl)nn2c(-c3cccc(S(=O)(=O)N(C)C)c3)c(C)nc12,-3.9931700253889613,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C82E0>,450.9520000000002
Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1,-4.766178343084826,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8270>,344.3740000000001
CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,-3.7511575220886826,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8200>,387.8670000000001
COc1ccc(OCC(=O)Nc2cccc(Cl)c2N2CCN(C(C)=O)CC2)cc1,-4.948967238468262,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C8190>,417.8930000000003
c1ccc(-c2ccc(CN3CCCCCCC3)cc2)cc1,-4.468544763079077,<rdkit.Chem.rdchem.Mol object at 0x00000285F13C80B0>,279.4269999999999
CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccccc2Cl)CC1,-4.3355988110825905,<rdkit.Chem.rdchem.Mol object at 0x00000285F13CBF40>,422.31200000000024
O=C(c1sc(N2CCOCC2)nc1-c1ccccc1)N1CCCCC1,-3.7871352513832646,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401700>,357.4790000000002
Cc1ccccc1-c1nc(Cn2ccnc2C(C)C)c(C)o1,-3.780105204811307,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401690>,295.3860000000001
CCc1nc2cc(-c3c(OC)cccc3OC)ccc2o1,-4.173077450127123,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401620>,283.327
O=C(C1CCC(O)CC1)N1CCCN(c2ccc(F)cc2)CC1,-3.5988298160841126,<rdkit.Chem.rdchem.Mol object at 0x00000285F14015B0>,320.4080000000001
CCn1ncnc1-c1[nH]cnc1-c1ccccc1,-4.016616092018806,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401540>,239.282
Cc1nnc(NCCc2ccc3c(c2)OCO3)c(C#N)c1C,-4.121527603020804,<rdkit.Chem.rdchem.Mol object at 0x00000285F14014D0>,296.33000000000004
Cc1nc(N2CCn3ccnc3C2)c2cnn(C)c2n1,-3.91319183212957,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401460>,269.312
Cc1cc(CN(C)Cc2cscn2)no1,-3.8917660419595235,<rdkit.Chem.rdchem.Mol object at 0x00000285F14013F0>,223.30100000000004
Cc1occc1C(=O)NCC(=O)Nc1nc2cc(Cl)ccc2n1C,-4.105477624020364,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401380>,346.77400000000006
CCNC(=O)c1ccc(CS(C)(=O)=O)cc1,-3.7708556111081255,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401310>,241.31199999999995
c1ccc(-c2noc(NC3CC3)n2)cc1,-3.851904132990273,<rdkit.Chem.rdchem.Mol object at 0x00000285F14012A0>,201.22899999999998
Cc1nn(C)c2sc(C(=O)N3CCC(C(=O)O)(c4ccccc4)CC3)cc12,-3.7160905570651597,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401230>,383.4730000000001
CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,-3.7329226578858328,<rdkit.Chem.rdchem.Mol object at 0x00000285F14011C0>,421.49700000000007
O=C(NCC1(c2ccc(F)cc2)CCOCC1)c1ccccn1,-3.798804850101324,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401150>,314.35999999999996
COc1cc(OC)cc(-c2nnc(SCC(=O)Nc3cccc(C(=O)O)c3)s2)c1,-4.043911160641053,<rdkit.Chem.rdchem.Mol object at 0x00000285F14010E0>,431.49500000000006
O=C(CSc1nccn1C1CC1)Nc1c(Cl)cc(Cl)cc1C(=O)O,-5.201273462157424,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401070>,386.26000000000005
CCN1CCC(CNC(=O)c2cc(C)nc3cc(F)ccc23)CC1,-3.9472057044912545,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401000>,329.4190000000001
COc1ccc(CCC(=O)N2CCCNCC2)cc1,-3.8662178187093015,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400F90>,262.35299999999995
Cc1cc(-c2cnn(CCNC(=O)c3sc(C)nc3C)c2C2CC2)on1,-3.7430671212725697,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400F20>,371.4660000000002
O=C(CSc1nc2nc(O)cc(O)c2s1)c1ccc(-c2ccccc2)cc1,-4.750923646723447,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400EB0>,394.4770000000001
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,-3.9349365733200607,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400E40>,314.3890000000001
CN(C)c1ccc2c(c1)OCCN2C(=O)NCc1cccnc1,-3.812347869528682,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400DD0>,312.37299999999993
O=C(NCc1ccc(CO)c(F)c1)Nc1ccccc1,-3.8916752281181974,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400D60>,274.295
CCCOc1ccccc1C(=O)N1CC(Oc2cccc(OC)c2)C1,-3.9069320543780335,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400CF0>,341.40700000000004
O=C(c1ccc(-n2cccn2)nc1)N1CCN(c2ccccc2O)CC1,-3.9149265127497594,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400C80>,349.3940000000001
COc1ccc(CCNCc2ccc(-c3ccccc3)o2)cc1OC,-3.6573561099817042,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400C10>,337.4190000000001
CSCC(=O)N1CCN(C(=O)CSC)C2(CCCCC2)C1,-3.815647132109038,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400BA0>,330.51900000000023
CCCCNC(=O)c1cccc2ncccc12,-3.891184336899396,<rdkit.Chem.rdchem.Mol object at 0x00000285F1400900>,228.295
COc1cccc(OCCCn2cncc2-c2cc3c(cc2C)n(C)c(=O)n3C)c1,-3.8657710684209854,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401BD0>,406.48600000000016
Cc1ccc(C(=O)N2CCN(C(=O)NCC(=O)N3CCCC3)CC2)cc1F,-3.696935015139659,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401C40>,376.43200000000024
COC(=O)c1c(C)[nH]c(C(=O)N(C)Cc2ccc(OC)c(F)c2)c1C,-3.867460133090273,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401CB0>,348.3740000000001
Cc1cc(OCC(=O)N(C)C2CCCCCCC2)no1,-3.805659816615281,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401D20>,280.36799999999994
CC(C)CNc1nnc(SCc2ccncc2)s1,-3.767023470418025,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401D90>,280.42199999999997
COc1c(C)cccc1CN1CCC(O)(c2ccc(F)cc2)CC1,-3.9187341309992134,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401E00>,329.415
Cc1nn(-c2ccc(C(=O)O)cc2C#Cc2ccccc2)c(C)c1C,-3.8525985774542204,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401E70>,330.38700000000006
Cc1cc(C)nc(Nc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc2)n1,-3.7724351048912292,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401EE0>,394.5230000000002
CCc1nc2ccccc2n1CC(=O)N1CCNC(=O)C1,-3.752723920011568,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401F50>,286.33500000000004
O=C1Nc2ccccc2O[C@H]2C[C@@H]1N(CC1CC1)C2,-3.787877617232554,<rdkit.Chem.rdchem.Mol object at 0x00000285F1401FC0>,258.32099999999997
CCN(C/C=C/c1ccc(F)cc1)Cc1nc(COC)no1,-3.980059555163538,<rdkit.Chem.rdchem.Mol object at 0x00000285F1402030>,305.353
CC(=O)Nc1ccc2nc(C)cc(O)c2c1,-3.747225067690669,<rdkit.Chem.rdchem.Mol object at 0x00000285F14020A0>,216.23999999999998
O=C(NC[C@@H]1CCN(c2ccccc2)C1)N1CCc2ccccc2C1,-4.450082129872299,<rdkit.Chem.rdchem.Mol object at 0x00000285F1402110>,335.4510000000001
CC1CCN(CCNC(=O)c2ccncc2)CC1,-3.859398767158693,<rdkit.Chem.rdchem.Mol object at 0x00000285F1402180>,247.34199999999998
CCN1CCC(N(C)c2ncnc3c2cnn3C)CC1,-3.8234425730100927,<rdkit.Chem.rdchem.Mol object at 0x00000285F14021F0>,274.37200000000007
CN(CC#N)C(=O)c1cccc(CN2CCCC2)c1,-3.867427998705797,<rdkit.Chem.rdchem.Mol object at 0x00000285F1402260>,257.33699999999993
Cc1cc2nc(CCC(=O)N3CCC(c4ccc(C(=O)N(C)C)c(N)n4)CC3)[nH]c2cc1C,-4.053478483127726,<rdkit.Chem.rdchem.Mol object at 0x00000285F14022D0>,448.57100000000025
O=C(c1cc2ccccc2[nH]1)N1C[C@@H](O)[C@H](N2CCOCC2)C1,-3.839954917370362,<rdkit.Chem.rdchem.Mol object at 0x00000285F1402340>,315.37300000000016
CNC(=O)C1CCN(Cc2ncc(-c3ccc(F)cc3)o2)CC1,-4.204892471271804,<rdkit.Chem.rdchem.Mol object at 0x00000285F14023B0>,317.3640000000001
COc1ccc(C)cc1NC(=O)CN1CCc2ccccc2C1,-4.300746059132085,<rdkit.Chem.rdchem.Mol object at 0x00000285F1402420>,310.397
O=C(CCOc1ccccc1)N1CCCC1,-3.7510573436496624,<rdkit.Chem.rdchem.Mol object at 0x00000285F1402490>,219.28399999999993
c1ccc(-c2n[nH]c(C3CCN(c4ccccn4)CC3)n2)cc1,-3.948289258426314,<rdkit.Chem.rdchem.Mol object at 0x00000285F1402500>,305.38500000000005
