SMILES,LogS,MW
c1ccc(OCCOc2ccccc2)cc1,-3.9885265275,214.26400000000004
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.2780387128,379.37500000000017
Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1CNC(=O)c1ccccc1,-1.4396051212999998,591.6210000000004
CCCC(CCC)C(=O)O,-1.8579774272,144.214
CCCCCC/C=C/C1CC(=O)OC1=O,-4.0217535152,210.27299999999994
CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.7725704235,136.238
C=C(F)C(F)(F)F,-2.7599573667,114.04100000000001
O=c1ccc2ccccc2o1,-1.8860303607,146.14499999999998
C=C(C)C1CC=C(C)CC1,-3.8464965295,136.23799999999997
CCN(CC)c1ccc([C+](c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c(C)c1,-0.6229779303,775.969
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924,196.29
CCCC(=O)OC(C)(C)Cc1ccccc1,-4.1359426126,220.31199999999998
CCCOCC(C)OCC(C)O,-0.0700526508,176.25599999999997
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,-4.1708247593,222.28799999999995
CCCCCCCC/C=C\CCCCCCCC(=O)O,-4.4100874366000005,385.6370000000001
CCN(CC[n+]1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,-1.5218900849,469.9290000000002
O=C(Oc1ccccc1)Oc1ccccc1,-4.2169166627,214.21999999999997
C=COC(=O)C(CC)CCCC,-4.1519109764,170.25199999999995
C=C(C)C(=O)NCNC(=O)C(=C)C,-1.1892367555,182.22299999999996
C1=C\CC/C=C\CC/1,-2.9659771733,108.18399999999998
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.3876832538,278.348
O=C(c1ccccc1)c1ccc(O)c(O)c1O,-3.3451078238,230.219
CCCCCCCCC/C=C/CC1CC(=O)OC1=O,-4.4255032449,266.381
C/C(=C\C(C)CC(C)CC(C)C)C1CC(=O)OC1=O,-4.4255032449,266.381
CCCCCCCCCC(=O)Oc1ccc(C(=O)O)cc1,-5.4245475497000015,292.375
COc1ccc(/C=C/C(=O)OCCC(C)C)cc1,-5.4919252104,248.32199999999995
CCCCCCCCCCCCCCCC(=O)NCC(=O)O,-5.593122621900001,313.482
C1=C\CC/C=C/CC/C=C\CC/1,-5.3651562541,162.27599999999995
N#Cc1ccccc1-c1ccc(CBr)cc1,-6.6566491092,272.1449999999999
CCCCCCCCCCCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1,-6.214524895199999,819.3979999999996
CCCCC(CC)CNC(=O)CCCCCC(C)C,-5.731545252999999,269.47299999999996
CO[C@H]1C[C@H](OC2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(C=C[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)[C@@H](O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@]43O)O[C@@H](C)C1O[C@H]1C[C@H](OC)[C@@H](O)[C@H](C)O1,-7.5558815137,899.1280000000005
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-6.183335848,230.31
c1cc2ccc3cccc4ccc(c1)c2c34,-6.1787966156,202.25599999999997
CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,-6.40319542,278.3479999999999
CCC(CC)CC1(C#N)CCCCC1,-6.5873382321000005,193.33399999999995
COc1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1,-6.9290130346000005,313.3570000000001
CC(C)CCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC(C)C,-7.2523945018,482.7900000000005
CCCCN(CCCC)c1ccc2c(c1)Oc1cc(C)c(Nc3ccccc3)cc1C21OC(=O)c2ccccc21,-7.4042503575,532.6840000000002
O=Cc1cccc2c1OC(F)(F)O2,-2.1558333574,186.11299999999994
CCNc1cc(C#N)c(N)c2c1C(=O)c1ccccc1C2=O,-7.6382805905,291.31
CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(C(=O)NC(C)(C)C)cc3)nc(Nc3ccc(C(=O)OCC(CC)CCCC)cc3)n2)cc1,-8.1852587653,765.9999999999998
CCCCCCCCCCCC[n+]1ccccc1,-0.4539105371,283.887
Cc1cccc(C)c1OCC(=O)O,-2.2566445306,180.20299999999997
CC(=O)c1ccc(O)cc1,-1.1383824511,136.14999999999998
CC(=O)/C=C/C=C(\C)CCC=C(C)C,-3.2972120668,192.30199999999996
C=CN1CCN(C=C)C1=O,-1.1558864442,138.17
Nc1cc([N+](=O)[O-])ccc1O,-2.2056018566,154.125
O=c1[nH]c2ccc([N+](=O)[O-])cc2[nH]1,-3.2740875474,179.135
Cc1ccc(S(=O)(=O)/C(C#N)=C/N2CC(=O)NC2=S)cc1,-3.5292992951,321.38300000000004
CCc1occc(=O)c1O,-1.1759580204,140.13799999999998
COC(=O)Cc1ccccc1,-2.2114017234,150.177
Cc1c(Cl)cccc1[N+](=O)[O-],-3.2706864295,171.58299999999997
CCCCCCCl,-3.1223887332,120.623
C=C(C)C(=O)OCC(F)(F)F,-2.2684756839,168.11399999999995
CCCCCCC(C)=O,-2.1536963273,128.215
CCCCC/C=C/CC(CC(=O)O)C(=O)O,-2.4042405739,228.28799999999995
C/C=C/C(CCC)(C(=O)O)C(CCC)(CCC)C(=O)O,-3.4953596006,284.39599999999996
C[C@H]1CC(=O)C=C2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@]21C,-3.5264225666000004,302.458
CC1=Nc2ccccc2/C1=N/Nc1cc(Cl)c(S(=O)(=O)NCCS(=O)(=O)[O-])cc1Cl,-3.7561795168,513.3600000000002
CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1,-4.536378597,340.419
C=CC(=O)OCC1CC2CC1C1CCC(COC(=O)C=C)C21,-4.4930858187,304.386
O=C(Nc1ccccc1)Nc1ccccc1NS(=O)(=O)c1ccccc1,-4.5784028785,367.43000000000006
C=CC(=O)OCC(CC)CCCC,-4.2832046138,184.27899999999994
CC(=O)OC1CC2CC1C1CCCC21,-3.3380498278,194.27399999999997
CCS,-0.8459165595999999,62.137
CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC,-2.5951754429,346.46400000000017
CC(C)=CCC[C@@H](C)CC=O,-3.243750947,154.25300000000001
CC(C)[C@@]12CC[C@@](C)(O1)[C@@H](O)C2,-0.288092629,170.25199999999998
CC(C)c1ccc(CCC=O)cc1,-3.3026567859,176.259
CCCCBr,-2.1977641867,137.01999999999998
CCCCCCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)[O-],-3.6091104804,351.41900000000004
CCCOC(C)OCCc1ccccc1,-3.3841929036,208.301
COC(OC)C(C)(C)CC=C(C)C,-3.3397616042,186.295
COC(C)(C)C1CC=C(C)CC1,-3.2966135776,168.27999999999994
O=[N+]([O-])c1cc(Cl)ccc1Cl,-3.3642253983,192.001
C#CC(C)(O)CC/C=C(\C)CC,-2.3027678878,166.26399999999995
O=C1C=CC(=O)N1c1ccccc1,-2.3273175561,173.17100000000002
CC1=NN(c2ccc(C)cc2)C(=O)C1,-2.365667988,188.22999999999996
CC(=O)CC(C)(C)c1ccccc1,-2.337666283,176.25900000000001
CCCCCOC(=O)CC,-2.2505224040000003,144.21399999999997
FC(F)=C(F)Cl,-2.1609542979,116.46900000000001
CCCCCCCCCCCCOCCO,-1.4593774078,230.39199999999994
NCCCCCCCCCCC(=O)O,-2.4007753619,201.30999999999997
NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1,-2.8005950876,505.4580000000001
C/C=C1\CC2C=CC1C2,-3.1767964148,120.19499999999996
CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,-3.5256277962,268.36
CCCCOC(=O)c1ccccc1N,-3.3830205262,193.24599999999998
O=C(OCc1ccccc1)c1ccccc1O,-4.4139224059,228.24699999999999
O=S(=O)(O)c1cccc2cc(Nc3ccccc3)cc(Nc3ccccc3)c12,-4.6725029066,390.4640000000001
CCC(C)(OOC(C)(C)C)OOC(C)(C)C,-4.4507609201,234.33599999999993
c1ccc(Sc2ccccc2)cc1,-4.3606078686,186.279
CCOCCCNS(=O)(=O)c1ccc(Oc2cc(O)c3c(c2N)C(=O)c2ccccc2C3=O)cc1,-4.7874700957,496.5410000000003
O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,-4.5531196112,285.897
CC1=NN(c2cccc(S(=O)(=O)[O-])c2)C(=O)C1N=Nc1cc(Cl)c(Cl)cc1S(=O)(=O)[O-],-3.8390840609,545.3950000000002
CCO,1.2336682179,46.069
COc1ccc(OC)cc1,-2.2455315279,138.166
c1ccc(CCOC2CCCCC2)cc1,-2.4180900548,204.31299999999996
C/C=C/C(=O)C1C(C)C=CCC1(C)C,-3.3963665007,192.30199999999996
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)cc1,-3.5579600556,278.25999999999993
CCCCC/C=C/CCC=O,-3.301742894,154.253
Cc1cc(C)c(C)c(O)c1,-2.2522030039,136.194
CC(F)(F)F,-2.043101387,84.04
CC(C)(O)C(=O)c1ccc(OCCO)cc1,-1.4699304792,224.25599999999997
CN=C=S,-0.9832225904,73.12
CN(C(=O)N(C)c1ccccc1)c1ccccc1,-3.4975575811,240.306
O=C1CCCCCCCCCCC(=O)OCCO1,-3.533758505,256.3419999999999
CC(C)CCCCCCCO,-3.3243784972,158.285
CCOC(=O)C1OC1c1ccccc1,-2.4096512377,192.214
CC(C)CCCC(C)(C)O,-2.2869836341,144.258
CCC(=O)OCc1ccccc1,-2.344979827,164.204
C#CC1(OC(C)=O)CCCCC1,-2.352215179,166.21999999999997
CCN(CC)CC,-0.1376829835,101.193
CCCCCCCC/C=C\CCCCCCCCNCCCNCCCN,-3.7183913352,381.69300000000015
CSC,-0.9312189022,62.137
CNC(=S)[S-],0.747325108,129.185
Nc1cc(Cl)c(Cl)cc1Cl,-3.4359504856,196.464
Clc1cccc(C(Cl)(Cl)Cl)n1,-3.506108364,230.909
O=C(O)c1cc2ccccc2cc1O,-3.4172455835,188.182
CC(C)c1cccc(C(C)CC=O)c1,-3.6773468456,190.28599999999994
FC1CC(F)(F)C(F)(F)C1(F)F,-2.436880918,196.065
CCCCC,-3.006984006,72.151
C/C=C/c1ccc(O)c(OC)c1,-2.3647374971,164.20399999999998
Cc1ccc(C=O)cc1C,-2.277035079,134.178
CCCCOC(C)=O,-1.2199585633,116.15999999999998
Nc1ccc(-c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,-2.6919272706,344.37
COc1cc(C=O)cc([N+](=O)[O-])c1O,-2.4496899299,197.14599999999996
CCN(CC)c1cccc(NC(C)=O)c1,-2.4693780306,206.289
Cc1ccccc1N=C(N)Nc1ccccc1C,-3.5338845835000003,239.322
CCCC(CC)COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-7.098737149600001,376.58100000000013
C=C1C2CCC3C2C(C)(C)CCCC13C,-4.412762427200001,204.35699999999994
O=C(OCCc1ccccc1)c1ccccc1O,-4.4891053349000005,242.274
CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1,-4.5673029377,284.311
CCC(C)(C)C1CCCCC1OC(C)=O,-4.4462039036,212.33299999999997
N#CC(=C1CCCCC1)c1ccccc1,-4.4200239973,197.28100000000003
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-4.6202577876,296.153
O=[N+]([O-])c1ccc(CCc2ccc([N+](=O)[O-])cc2)cc1,-4.589885800199999,272.26
CC(C)(C)CC(C)(C)c1ccc(O)cc1,-4.4694622333,206.329
CCCCCCCCCc1ccc(O)cc1,-4.4980268403,220.35600000000002
COc1ccc(C(=O)Nc2ccc(C(N)=O)cc2)cc1[N+](=O)[O-],-4.6536052692,315.2850000000001
CCCCCCCCCCCCCCCCCC[NH+](C)C,-4.6786900339,334.0319999999999
CCCC[N+](CCCC)(CCCC)CCCC,1.3320248442,322.3749999999999
CC(C)=CCC/C(C)=C/CO,-2.3519095035,154.253
COc1ccccc1OC,-1.3149750669,138.16599999999997
Nc1cnn(CCO)c1N,0.4442593444,240.24099999999999
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,-2.7785623319,398.47700000000026
CCCCCCOC,-2.2450853258000003,116.204
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,-2.5337046723,225.553
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-3.7709815003,392.4670000000002
CC(C)c1ccc(C(C)CC=O)cc1,-3.4598629014,190.28599999999997
CC1=CC(C)C(CO)C(C)C1,-2.3711973931,154.253
C=CC(C)(O)CC/C=C(\C)CC,-2.4091286640000003,168.27999999999997
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)c(C(=O)OCC2CO2)c1,-2.7622964758,378.33300000000014
CC1CC(C)(c2ccccc2)CO1,-2.4332379452,176.25899999999996
CCCCC(CC)C(=O)OCC,-3.423291255,172.26799999999997
Oc1cccc2cccnc12,-2.3496052546,145.16099999999997
CCOc1ccccc1OCC,-2.41045076,166.21999999999994
C/C=C/C,-1.9394650737,56.108000000000004
OCC(O)C(O)C(O)CO,0.6252744890999999,152.146
C=CC(=C)C,-2.0257332357,68.119
CCCCCCCC/C=C/CCCCCCCCNCCCNCCCNCCCN,-3.8360757577,438.78900000000027
CC(C)CCCC(C)CCO,-3.3932597866000003,158.285
CC(=O)c1ccccc1,-1.2803868403,120.15099999999995
CC/C=C(\C)C(O)CCCCC,-3.4318638977,170.29599999999996
CCCCOC(=O)CCC,-2.3610477791,144.21399999999997
O=C(O)c1ccccc1C(=O)O,-1.4245732761,166.13199999999998
O=CC1CCC2C3CCC(C3)C12,-2.4199676473,164.248
CC(C)c1ccccc1C(C)C,-2.4977135853,196.28999999999996
Cc1cccc(C)c1O,-1.292396158,122.16699999999999
CCC(O)c1ccccc1,-2.3403675905,136.194
CC(=O)c1cccc(C(F)(F)F)c1,-2.4821079167,188.14799999999994
Nc1ccc(Cl)cc1Cl,-2.4171742578,162.019
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,-3.4963238418,196.29
NNS(=O)(=O)c1ccc(Oc2ccc(S(=O)(=O)NN)cc2)cc1,-3.7584891954,358.40100000000007
O=P([O-])([O-])[O-],-3.4683853884,182.59
C=C/C=C/CC/C=C/CC,-3.34190657,136.238
OC/C=C\CO,0.8466851642000001,88.10600000000001
C=C(C)C(=O)OCCOCCOCCOCC,-0.6030114261,246.3029999999999
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1,-2.6489777217,272.28200000000004
CCCCCCCCCC(=O)O,-3.4452161366000005,172.268
CC(C)C,-2.977604072,58.123999999999995
CCCC,-2.977604072,58.123999999999995
CC,-2.6913820060000004,30.07
CC1(C)C2CC=C(CCC=O)C1C2,-3.4657606101,178.275
O=C(O)Cc1ccc(O)cc1,-0.3990804112,152.149
COc1ccc(COC(C)=O)cc1,-2.4740066421,180.203
Nc1nc(N)nc(-c2ccccc2)n1,-2.4941685135,187.20600000000002
C=CC(=O)OC1CCC(C(C)(C)C)CC1,-3.539328096,210.31699999999995
C=Cc1cc(Br)ccc1Br,-4.5787304077,261.94399999999996
Cc1ccccc1NC(=O)c1cc2ccccc2cc1O,-4.6234419541000005,277.32300000000004
COC(=O)c1nc(Cl)c(Cl)nc1N,-4.5348386091,222.031
CCCCCCCC/C=C\CCCCCCCC(=O)N(CCCC)CCCC,-4.788985440799999,393.7000000000002
C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C,-4.5442204359,222.32799999999992
CCCCCCCCCOC(C)=O,-4.4708606495,186.295
c1ccc2ccccc2c1,-4.3112256046,128.17399999999995
O=C(OC1CCCCC1)c1ccccc1O,-4.5540762927,220.26800000000003
C=C(C)[C@H]1CC=C(C)CC1,-4.346837785,136.23799999999997
CC/C=C\CCOC(=O)C/C=C\CC,-4.5097094839,196.29
CC[C@]12CC[C@@H]3C4=C(CC[C@H]3[C@@H]1CC[C@@H]2O)CC(OC)=CC4,-4.7025138257,302.458
CCCCCCCCCCCC(=O)OCC(O)CO,-4.6602344394,274.40099999999995
COc1ccc(C(=O)c2ccccc2)c(O)c1,-4.5802538276,228.247
CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,-4.6134788776,246.39399999999995
CCOC(=O)c1ccccc1,-2.3999022404,150.177
O=C(O)CCc1ccccc1,-1.4057514128,150.177
CC(C)=CCC/C(C)=C/C=O,-2.4116682055000003,152.237
CCCCCCC1CCCC1=O,-3.4515155376,168.27999999999997
CC(C)=CCC(C)(C)C(=O)C(C)C,-3.4892158636,182.307
C=Cc1ccc(O)c(C=C)c1,-3.3940626837,146.18899999999996
Nc1ccc(Cl)cc1O,-2.3906599281,143.573
CCOc1ccc(C(=O)O)cc1,-2.4548997462,166.176
Nc1c(Cl)cc(C(F)(F)F)cc1Cl,-3.591642752,230.01599999999996
CNCCCN1c2ccccc2CCc2ccccc21,-3.6576170412,266.388
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,-3.7030926455,292.766
CCCCCCCCC(O)CO,-2.4785789552,174.284
CCC(C)C1CCCCC1=O,-2.427057806,154.253
COc1cc(C=O)ccc1OC(=O)C(C)C,-2.5886676064,222.23999999999995
Cc1ccccc1,-2.2062982993,92.14099999999999
Cc1cc(N/N=C2/C(=O)C(C(=O)[O-])=Cc3ccccc32)c(S(=O)(=O)[O-])cc1Cl,-3.9441003714,506.4340000000002
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@@H]2O,-3.7003596507,286.415
CCc1ccc(CC(C)(C)C#N)cc1,-3.3513392636000003,187.286
ClCCCCCCCl,-3.4346473299,155.068
CCC(=O)OC1C=CC2C3CCC(C3)C12,-3.5585927938,206.28499999999994
CCOc1ccccc1,-2.3318416428,122.16699999999996
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,-4.676528089,474.8190000000001
C=CCOC(=O)COc1ccccc1,-2.5363732086,192.21400000000003
[I-],1.0867760203,144.943
O=C(O)CCCCC(=O)O,-0.6232866861,232.27999999999994
CNS(=O)(=O)c1cc(OC)c(N)cc1OC,-3.6510805625,246.28799999999995
O=P(O)(O)O,0.5376020021,158.05
NC(N)=O,0.9578400994,60.056
O=c1[nH]c2ccccc2[nH]1,-2.3927519971,134.13799999999998
C=CC(=O)OCCC(C)CCOC(=O)C=C,-2.6214335505,226.27199999999993
Nc1cccc(Cl)c1,-1.3733684129,127.574
CC(=O)OC1CCC2CCCCC2C1,-3.5605044152,196.28999999999996
CCCCCCCCCCCCCCC(C)c1cc(C)cc(C)c1O,-7.3357073226999985,346.59900000000005
C1=CCCC1,-2.1049144818000003,68.119
O=C(O)CC(CP1(=O)Oc2ccccc2-c2ccccc21)C(=O)O,-2.8135095056,346.2750000000001
O=S(=O)(O)O,-3.3330935045,114.12199999999999
FC(F)(F)C(F)(F)F,-2.4239072122,138.01000000000002
CC(C)=CCC/C(C)=C\CCC=O,-3.5383035446,180.29099999999997
C=C(C)C(=O)Oc1ccccc1,-2.4948513605,162.188
CC1=C(C=O)C(C)(C)CC=C1,-2.4650077569,150.221
CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-2.7113870277,263.42499999999995
CC(=O)CC(C)(C)C1CCCCC1,-3.5481536429,182.30699999999993
CC1CCC(C(C)C)C(O)C1,-2.4880091207,156.26899999999998
Nc1ccc(Nc2ccccc2)cc1,-2.5631304762,184.24200000000002
CCC(C)C(=O)N(C)c1ccccc1,-1.5805795126,191.27400000000003
NC(=O)c1cccnc1,0.6121583154,122.12699999999997
Cc1cc(C)cc(O)c1,-1.3879839049,122.16699999999997
C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,-2.772789495,296.319
CC(C)CC(=O)CC(C)C,-2.4540578458,142.242
C=CCc1ccc(OC)c(OC)c1,-2.5520132395,178.23099999999997
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,-2.6798855726,239.25199999999998
O=S(=O)([O-])c1ccc(N=Nc2c([O-])ccc3cc(S(=O)(=O)[O-])ccc23)cc1,-2.9368865529000003,432.3710000000001
CCCCCC1=C(OC(C)=O)CCC1CC(=O)OC,-3.7219886724,268.35299999999995
C=CC1CC=CCC1,-3.3351930307,108.18399999999998
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,-5.0104856455,610.5650000000002
CCCCCCCC/C=C/CCCCCCCCN(CCO)CCO,-4.7801182897,355.6070000000001
CCCCOC(=O)c1ccc(C(=O)OCCCC)c(C(=O)OCCCC)c1,-4.807173711,378.46500000000015
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(O)cc4)CC3)cc2)c1=O,-4.8285219564,393.49100000000016
CCCCCCCCCCCO,-4.4804406676,172.31199999999998
C=CC(=O)OC1C[C@@H]2CC[C@@]1(C)C2(C)C,-4.5830924552,208.30099999999996
O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,-4.7011861265,273.291
CCCCC(CC)COC(=O)OOC(C)(C)C,-4.6599585126,246.34699999999995
C=C(C)C(=O)OC1CC(C)CC(C)(C)C1,-4.5985985087,210.31699999999992
Nc1ccccc1,-4.5021013295,165.23600000000002
CCCCCCCCCCCCCCCCCC(=O)O,-4.9604194489,473.7910000000003
CC/C=C/CCOC(=O)c1ccccc1O,-4.6439814041,220.26800000000003
CC(C)[C@@H]1CC[C@@H](C)CC1=O,-2.4918772305,154.253
COC(=O)c1ccc(C(=O)O)cc1[N+](=O)[O-],-2.6570018481,225.15599999999998
